id,template_name,template_type,subject,body,send_time_type,is_active,created_at
1,Meeting Follow-up - Action Items,followup,Follow-up: {{meeting_title}} - Action Items,"Hi team,

Thank you for attending {{meeting_title}} on {{meeting_date}}. Here are the key action items we discussed:

{{action_items}}

Please let me know if you have any questions.

Best regards,
{{organizer_name}}",immediately_after,1,2025-10-30T05:16:08.768Z
2,Meeting Reminder - 1 Day Before,reminder,Reminder: {{meeting_title}} Tomorrow,"Hi {{participant_name}},

This is a friendly reminder that we have {{meeting_title}} scheduled for tomorrow at {{start_time}}.

Location: {{location}}

Looking forward to seeing you there.

Best,
{{organizer_name}}",1_day_before,1,2025-11-15T07:19:57.290Z
3,Meeting Reminder - 1 Hour Before,reminder,Starting Soon: {{meeting_title}},"Hi {{participant_name}},

{{meeting_title}} will begin in 1 hour at {{start_time}}.

Join here: {{location}}

See you soon!",1_hour_before,1,2025-11-17T20:34:04.226Z
4,Weekly Status Update,status_update,Weekly Status Update - Week of {{week_date}},"Team,

Here's our weekly status update:

**Completed:**
{{completed_items}}

**In Progress:**
{{in_progress_items}}

**Upcoming:**
{{upcoming_items}}

Let me know if you have any concerns.

Thanks,
{{sender_name}}",weekly_monday,1,2026-01-01T13:17:05.734Z
5,Project Milestone Achieved,status_update,🎉 Milestone Achieved: {{milestone_name}},"Great news team!

We've successfully achieved {{milestone_name}}. Thank you all for your hard work and dedication.

{{milestone_details}}

Next steps:
{{next_steps}}

Cheers,
{{sender_name}}",immediately,1,2025-11-20T12:37:15.794Z
6,Meeting Notes Summary,followup,Meeting Notes: {{meeting_title}},"Hello everyone,

Please find the notes from today's {{meeting_title}}:

**Attendees:**
{{attendees}}

**Key Discussion Points:**
{{discussion_points}}

**Decisions Made:**
{{decisions}}

**Action Items:**
{{action_items}}

Feel free to reply with any additions or corrections.

Regards,
{{organizer_name}}",2_hours_after,1,2025-12-09T17:30:31.645Z
7,Client Meeting Follow-up,followup,Thank you for meeting with us,"Dear {{client_name}},

Thank you for taking the time to meet with us today. We appreciated the opportunity to discuss {{discussion_topic}}.

As promised, here are the next steps:
{{next_steps}}

We will follow up with you by {{followup_date}}. Please don't hesitate to reach out if you have any questions.

Best regards,
{{sender_name}}",3_hours_after,0,2025-12-27T14:03:16.102Z
8,Daily Standup Reminder,reminder,Daily Standup in 15 minutes,"Quick reminder - daily standup starts in 15 minutes!

Join: {{meeting_link}}

See you there!",15_minutes_before,1,2025-11-10T16:15:02.316Z
9,Sprint Planning Preparation,reminder,Please Review Before Sprint Planning,"Hi team,

Our sprint planning is scheduled for {{meeting_date}} at {{start_time}}. Please review the following before the meeting:

- Backlog items: {{backlog_link}}
- Previous sprint retrospective notes
- Your capacity for the upcoming sprint

Thanks,
{{organizer_name}}",2_days_before,1,2025-11-30T20:32:59.102Z
10,Monthly Team Update,status_update,Monthly Update - {{month_year}},"Team,

Here's our monthly update for {{month_year}}:

**Highlights:**
{{highlights}}

**Metrics:**
{{metrics}}

**Upcoming Focus Areas:**
{{focus_areas}}

Great work everyone!

{{sender_name}}",monthly_first_monday,0,2025-11-23T11:19:03.985Z
11,Retrospective Action Items,followup,Retrospective Action Items - {{sprint_name}},"Team,

Here are the action items from our retrospective:

{{action_items}}

Let's make sure to address these in the next sprint.

{{organizer_name}}",immediately_after,1,2025-11-01T04:32:00.541Z
12,Meeting Cancellation Notice,notification,Cancelled: {{meeting_title}},"Hi {{participant_name}},

Unfortunately, we need to cancel {{meeting_title}} scheduled for {{meeting_date}}.

{{cancellation_reason}}

We will reschedule soon.

Apologies for any inconvenience.

{{organizer_name}}",immediately,0,2026-01-06T06:46:32.420Z
13,Meeting Reschedule Notice,notification,Rescheduled: {{meeting_title}},"Hi {{participant_name}},

{{meeting_title}} has been rescheduled.

New date/time: {{new_date}} at {{new_time}}
Location: {{location}}

Please update your calendar.

{{organizer_name}}",immediately,1,2025-10-23T15:47:25.737Z
14,Quarterly Business Review Reminder,reminder,QBR Next Week: Prepare Your Updates,"Team,

Our Quarterly Business Review is next week on {{meeting_date}}.

Please prepare:
- Q{{quarter}} achievements
- Key metrics
- Challenges faced
- Q{{next_quarter}} goals

See you then!

{{organizer_name}}",1_week_before,1,2025-12-23T11:03:16.217Z
